Clave del medio de recepción ,Descripción del medio de recepción ,CONSULTAS ,RECLAMACIÓN ,ACLARACIÓN 
1,Correo electrónico ,SI APLICA ,SI APLICA ,SI APLICA 
2,Página de internet ,SI APLICA ,SI APLICA ,SI APLICA 
3,Sucursales ,SI APLICA ,SI APLICA ,SI APLICA 
4,Teléfono ,SI APLICA ,SI APLICA ,SI APLICA 
5,UNE ,SI APLICA ,SI APLICA ,SI APLICA 
6,CONDUSEF-SIGE gestión electrónica ,NO APLICA ,SI APLICA ,SI APLICA 
7,CONDUSEF-Gestión ordinaria ,NO APLICA ,SI APLICA ,SI APLICA 
8,Mensajeria ,SI APLICA ,SI APLICA ,SI APLICA 
9,Fax ,SI APLICA ,SI APLICA ,SI APLICA 
17,Oficinas de atención ,SI APLICA ,SI APLICA ,SI APLICA 
18,Centro de atención telefónica ,SI APLICA ,SI APLICA ,SI APLICA 
20,Aplicación movil ,SI APLICA ,SI APLICA ,SI APLICA 
21,Interfaces ,SI APLICA ,SI APLICA ,SI APLICA 
22,Api's ,SI APLICA ,SI APLICA ,SI APLICA 
23,Bots ,SI APLICA ,SI APLICA ,SI APLICA 
