Tipo de operación,Producto y/o Servicio ,Subproducto,Causa ,Código de Producto ,Código de Causa ,CONSULTA ,RECLAMACIÓN ,ACLARACIÓN 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Información sobre la actualización de historial crediticio ,'025710991158 ,'1200 ,SI ,,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Incumplimiento en la entrega de documentos ,'025710991158 ,'0162 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Inconformidad con el cobro de las rentas establecidas ,'025710991158 ,'0523 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Inconformidad con el proveedor de los bienes y/o con las especificaciones y características de estos de acuerdo con lo pactado en el contrato ,'025710991158 ,'0525 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Pago electrónico mal aplicado total o parcialmente ,'025710991158 ,'0533 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Actualización de historial crediticio no realizada ,'025710991158 ,'0730 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025710991158 ,'0858 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Inconformidad con el cobro de los gastos financieros y/o accesorios establecidos ,'025710991158 ,'0965 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025710991158 ,'0967 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025710991158 ,'0969 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Incumplimiento con los términos del contrato ,'025710991158 ,'1042 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Negativa a cumplir con la conclusión anticipada establecida en el contrato ,'025710991158 ,'1064 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Orientación sobre el funcionamiento de productos y servicios financieros ,'025710991158 ,'1079 ,SI ,,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Pago o depósito no aplicado total o parcialmente al producto o servicio ,'025710991158 ,'1081 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Información para la entrega de la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025710991158 ,'1221 ,SI ,,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Disposición de efectivo en ventanilla y/o sucursal no reconocida por el Usuario, cliente y/o socio ",'025710991158 ,'1236 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Disposición de efectivo en cajero automático no reconocida por el Usuario, cliente y/o socio ",'025710991158 ,'1237 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Solicitud de estados de cuenta no atendida ,'025711001159 ,'0188 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Actualización de historial crediticio no realizada ,'025711001159 ,'0730 ,,SI ,
