Clave de entidad federativa ,Descripción de entidad federativa ,Código Postal ,Clave de delegación/municipio ,Descripción de delegación/municipio ,Clave localidad ,Descripción de localidad ,Clave colonia ,Descripción de colonia 
1,Aguascalientes ,20000,1,Aguascalientes ,9,Colonia ,1,Aguascalientes Centro 
1,Aguascalientes ,20008,1,Aguascalientes ,22,Gran usuario ,3,Delegación de La Secretaria de Comercio y Fomento Industrial 
1,Aguascalientes ,20009,1,Aguascalientes ,22,Gran usuario ,4,Palacio de Gobierno del Estado de Aguascalientes 
1,Aguascalientes ,20010,1,Aguascalientes ,9,Colonia ,6,Olivares Santana 
1,Aguascalientes ,20010,1,Aguascalientes ,21,Fraccionamiento ,5,Colinas del Rio 
1,Aguascalientes ,20010,1,Aguascalientes ,21,Fraccionamiento ,7,Las Brisas 
1,Aguascalientes ,20010,1,Aguascalientes ,21,Fraccionamiento ,8,Ramon Romo Franco 
1,Aguascalientes ,20010,1,Aguascalientes ,21,Fraccionamiento ,9,San Cayetano 
1,Aguascalientes ,20016,1,Aguascalientes ,21,Fraccionamiento ,10,Colinas de San Ignacio 
1,Aguascalientes ,20016,1,Aguascalientes ,21,Fraccionamiento ,12,Fundición II 
1,Aguascalientes ,20016,1,Aguascalientes ,21,Fraccionamiento ,11,La Fundición 
1,Aguascalientes ,20016,1,Aguascalientes ,21,Fraccionamiento ,13,Los Sauces 
1,Aguascalientes ,20018,1,Aguascalientes ,9,Colonia ,14,Línea de Fuego 
1,Aguascalientes ,20020,1,Aguascalientes ,9,Colonia ,16,Buenos Aires 
1,Aguascalientes ,20020,1,Aguascalientes ,21,Fraccionamiento ,18,Circunvalación Norte 
1,Aguascalientes ,20020,1,Aguascalientes ,21,Fraccionamiento ,19,Las Arboledas 
1,Aguascalientes ,20020,1,Aguascalientes ,21,Fraccionamiento ,20,Villas de San Francisco 
1,Aguascalientes ,20029,1,Aguascalientes ,21,Fraccionamiento ,21,Villas de La Universidad 
1,Aguascalientes ,20030,1,Aguascalientes ,9,Colonia ,23,Gremial 
1,Aguascalientes ,20030,1,Aguascalientes ,9,Colonia ,24,Industrial 
1,Aguascalientes ,20030,1,Aguascalientes ,21,Fraccionamiento ,22,El Sol 
